name,packCount,userRatingCount,userRatingAvg,price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Arctic Liquid Freezer Iii 280,,7,4.4,119.99,ARCTIC,LiquidFreezerIII280,ACFRE00135A,200-1700RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-280,No
Corsair Icue Link Titan 360 Rx Rgb,,6,4.8,199.95,Corsair,iCUELKTITAN360RXRGB,CW-9061018-WW,300-2100RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-360,No
Thermalright Aqua Elite Argb V4,,4,4.8,50.90,Thermalright,,AQUAELITE360ARGBV4,1550RPM,25.6dB,Black,48,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes-360,No
Noctua Nh-U12s Chromax.Black,,126,4.9,99.95,Noctua,,"NH-U12Schromax.black, NH-U12SCH.BK, NH-U12S-CH-BK",300-1500RPM,18.6-22.4dB,Black,158,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Noctua Nh-L9a-Am5,,2,4.5,49.95,Noctua,,NH-L9A-AM5,600-2500RPM,14.8-23.6dB,Brown/Silver,37,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2",No,No
Deepcool Ak620 Zero Dark,,39,4.6,,Deepcool,AK620ZERODARK,"R-AK620-BKNNMT-G-1, AK620ZERODARK",500-1850RPM,28dB,Black,160,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Arctic Liquid Freezer Iii 240 A-Rgb,,12,4.7,87.99,ARCTIC,LiquidFreezerIII240A-RGB,ACFRE00142A,200-2000RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-240,No
Cooler Master Hyper 212 Spectrum V3,,9,4.4,17.50,CoolerMaster,Hyper212SpectrumV3,RR-S4NA-17PA-R1,650-1750RPM,27.2dB,Black/Silver,152,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright Assassin Spirit 120 Evo,,15,4.5,32.90,Thermalright,AssassSpirit120EVO,"AS120EVO, AssassSpirit120EVO",2000RPM,28.2dB,Black,156,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Noctua Nh-U12a Chromax.Black,,57,4.9,139.94,Noctua,,"NH-U12Achromax.black, NH-U12Ach.bk",450-2000RPM,18.8-22.6dB,Black,158,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Tryx Panorama Se Argb,,,,279.99,TRYX,,L-P360L-AM3M-G0K,500-1850RPM,,Black,125,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes-360,No
Thermalright Assassin X Se,,3,4.3,16.89,Thermalright,,"AX90SEV2, AX90SEV2D6, Assass-X-90-SE-V2",2200RPM,23.85dB,Black/Silver,118,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Nzxt Kraken 240 Rgb,,8,3.9,139.99,NZXT,Kraken240RGB,RL-KR240-W1,500-1800RPM,17.9-30.6dB,White,56,"AM4, AM5, sTR4, sTRX4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes-240,No
Nzxt Kraken Elite 360,,8,4.2,259.99,NZXT,KrakenElite360(2024),RL-KN36E-B2,500-2000RPM,30dB,Black,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",Yes-360,No
Be Quiet! Pure Rock 2 Black,,47,4.7,49.90,bequiet!,PureRock2Black,BK007,1500RPM,19.1-26.8dB,Black,155,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Corsair Nautilus 360 Rs,,,,109.99,Corsair,NAUTILUS360RS,CW-9060089-WW,2100RPM,34dB,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-360,No
Noctua Nh-D15 G2,,4,4.5,259.99,Noctua,,NH-D15G2,1500RPM,24.8dB,Brown/Silver,168,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Noctua Nh-D9l,,33,5,84.95,Noctua,,NH-D9L,400-2000RPM,16.3-22.8dB,,110,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Deepcool Ak400,,34,4.7,,Deepcool,AK400,R-AK400-BKNNMN-G-1,500-1850RPM,29dB,Black/Silver,155,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright Peerless Assassin 120 Black,,22,4.9,48.69,Thermalright,PeerlessAssass120Black,"PA120Black, PA120BLACK, PA120BlackD6-CAD, PA120BLACK-D6, PA120BLACK-D2",1550RPM,25.6dB,Black,157,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Thermalright Assassin X Refined Se Argb,,3,5,,Thermalright,,"AX120RSEARGBD6-CAD, AssassX120RefedSEARGB",1550RPM,25.6dB,Black/Silver,148,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Noctua Nh-L12s,,50,4.9,74.95,Noctua,,NH-L12S,450-1850RPM,16.8-23.9dB,,70,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Lian Li Hydroshift Lcd 360s,,3,4.7,179.90,LianLi,HydroshiftLCD360S,"HSLCD36SW, GHSLCD36SW",200-2500RPM,29.8dB,White,59,"AM4, AM5, LGA1700, LGA1851",Yes-360,No
Id-Cooling Frozn A410 Black,,2,5,27.99,ID-COOLG,,FROZNA410BLACK,500-2000RPM,29.85dB,Black,152,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Arctic Liquid Freezer Iii 420,,10,4.8,139.99,ARCTIC,LiquidFreezerIII420,ACFRE00137A,200-1700RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-420,No
Intel E97379-001,,37,3.7,18.98,tel,,E97379-001,1200-2800RPM,22dB,Silver/Black,51,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1200",No,No
Thermalright Peerless Assassin 120 White,,12,4.9,47.59,Thermalright,PeerlessAssass120White,"PA120White, PA120WHITED6-CAD",1550RPM,25.6dB,White,157,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Corsair Icue H170i Elite Lcd Xt,,6,4.5,226.30,Corsair,iCUEH170iELITELCDXT,CW-9060076-WW,500-1700RPM,5-33.8dB,Black,,"AM2, AM2, AM3, AM3, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes-420,No
Noctua Nh-D15s Chromax.Black,,69,4.9,129.94,Noctua,,"NH-D15Schromax.black, NH-D15SCH.BK",300-1500RPM,19.2-24.6dB,Black,160,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Cooler Master Hyper 212 Rgb Black Edition,,239,4.5,34.99,CoolerMaster,Hyper212RGBBlackEdition,RR-212S-20PC-R1,650-2000RPM,8-30dB,Black,159,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Arctic Liquid Freezer Iii 420 A-Rgb,,9,4.7,115.49,ARCTIC,LiquidFreezerIII420A-RGB,ACFRE00145A,200-1900RPM,,Black,,"AM4, AM5, LGA1700, LGA1851",Yes-420,No
Iceberg Thermal Icefloe T95,,,,14.99,IcebergThermal,IceFLOET95,ICEFLOE95-00A,1000-2200RPM,32.3dB,Teal/Silver,78,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366",No,No
Arctic Alpine 23,,1,5,11.99,ARCTIC,Alpe23,ACALP00035A,100-2000RPM,,White/Black,65,"AM4, AM5",No,No
Cooler Master Masterliquid Ml240l Rgb V2,,120,4.5,89.59,CoolerMaster,MASTERLIQUIDML240LRGBV2,MLW-D24M-A18PC-R2,650-1800RPM,6-27dB,Black,,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes-240,No
Id-Cooling Fx360 Pro,,2,4.5,64.98,ID-COOLG,,FX360PRO,500-1800RPM,35.2dB,Black,,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes-360,No
Be Quiet! Dark Rock Pro 4,,180,4.8,165.00,bequiet!,DarkRockPro4,BK022,1500RPM,12.8-24.3dB,Black,163,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",No,No
Montech Hyperflow Argb 360,,6,4.7,97.99,Montech,HyperFlowARGB360,HyperFlowARGB360Black,2200RPM,29.1dB,Black,,"AM2, AM2, AM3, AM3, AM4, AM5, FM1, FM2, FM2, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes-360,No
Thermalright Peerless Assassin 120 Se V3,,1,5,34.90,Thermalright,PeerlessAssass120SEV3,"PA120SEV3, PeerlessAssass120SEV3",2000RPM,29.8dB,Black/Silver,155,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
Thermalright Frozen Infinity 360 Argb,,4,4.5,56.90,Thermalright,Frozenfity360ARGB,Frozenfity360BLACK,2000RPM,28.2dB,Black,60,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851, LGA2011, LGA2011-3, LGA2066",Yes-360,No
Lian Li Hydroshift Lcd 360tl Rgb,,2,4.5,,LianLi,HydroShiftLCD360TLRGB,HSLCD36TB,200-2600RPM,33dB,Black,59,"AM4, AM5, LGA1700, LGA1851",Yes-360,No
Be Quiet! Dark Rock 5,,4,5,74.90,bequiet!,,BK035,2100RPM,11.9-29.8dB,Black,161,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA1851",No,No
